	
						Set Values for by yourself
	
	
	<Category> TeddyWeaponPack:Pistols
		TWP_ArexZero,					W,   	600,	0 	// 9x19
		TWP_ArexZero_mag_18Rnd,			M,		100,	0
		TWP_Beretta92FS,				W,   	600,	0	// 9x19
		TWP_Beretta92FSDesert,			W,   	600,	0
		TWP_BerettaGoldenFlower,		W,   	600,	0	// 9x19
		TWP_Beretta92FS_mag_15Rnd,		M,		100,	0
		TWP_BerettaDEBurton,			W,   	1000,	0	// 44Mag
		TWP_BerettaDEBlack,				W,   	1000,	0	// 44Mag
		TWP_BerettaDE_mag_15Rnd,		M,		250,	0
		TWP_BerettaPX4,					W,   	600,	0	// 9x19
		TWP_BerettaPX4_mag_17Rnd,		M,		100,	0
		TWP_BerettaSwordCutlass,		W,   	600,	0	// 9x19
		TWP_BerettaSwordCutlass_mag_20Rnd,		M,		100,	0
		TWP_Colt1911Gold,				W,   	600,	0	// 45ACP
		TWP_Colt1911Gold_mag_7Rnd,		M,		100,	0
		TWP_Colt1911Holy,				W,   	600,	0	// 45ACP
		TWP_Colt1911Holy_mag_7Rnd,		M,		100,	0
		TWP_Colt1911Stainless,			W,   	600,	0	// 45ACP
		TWP_Colt1911Stainless_mag_7Rnd,	M,		100,	0
		TWP_1911_WilsonCombat,			W,   	600,	0	// 45ACP
		TWP_1911_WilsonCombat_mag_7Rnd,	M,		100,	0
		TWP_CZ75M,						W,   	600,	0	// 9x19
		TWP_CZ75M_mag_20Rnd,			M,		100,	0
		TWP_DesertEagle,				W,   	2500,	0	// 50AE
		TWP_DesertEagleSky,				W,   	2500,	0	// 50AE
		TWP_DesertEagle_mag_7Rnd,		M,		500,	0
		TWP_DesertEagleFalcon,			W,   	2200,	0	// 44Mag
		TWP_DesertEagleFalcon_mag_7Rnd,	M,		400,	0
		TWP_FN57Pink,					W,   	600,	0	// 5.7x28
		TWP_FN57Pink_mag_15Rnd,			M,		100,	0
		TWP_FN57Toxic,					W,   	600,	0	// 5.7x28
		TWP_FN57Toxic_mag_15Rnd,		M,		100,	0
		TWP_FNS9,						W,   	600,	0	// 9x19
		TWP_FNS9_mag_18Rnd,				M,		100,	0
		TWP_Glock18Egyptian,			W,   	600,	0	// 9x19
		TWP_Glock18Egyptian_mag_17Rnd,	M,		100,	0
		TWP_Glock18Honor,				W,   	600,	0	// 9x19
		TWP_Glock18Honor_mag_17Rnd,		M,		100,	0
		TWP_Glock18Jungle,				W,   	600,	0	// 9x19	
		TWP_Glock18Jungle_mag_17Rnd,	M,		100,	0
